alpha,N_species,w,leading_eigenvalue,extinction_counter,attempt_counter
-1.625000,25.000000,0.600000,-0.322691,0.000000,1.000000
-1.625000,25.000000,0.550000,-0.355451,0.000000,1.000000
-1.625000,25.000000,0.500000,-0.391887,0.000000,1.000000
-1.625000,25.000000,0.650000,-0.293252,0.000000,1.000000
-1.625000,25.000000,0.400000,-0.477104,0.000000,1.000000
-1.625000,25.000000,0.050000,-0.809457,0.000000,1.000000
-1.625000,25.000000,0.750000,-0.283651,0.000000,1.000000
-1.625000,25.000000,0.850000,-0.202416,0.000000,1.000000
-1.625000,25.000000,0.950000,-0.212366,0.000000,1.000000
-1.625000,25.000000,0.800000,-0.221637,0.000000,1.000000
-1.625000,25.000000,0.250000,-0.633467,0.000000,1.000000
-1.625000,25.000000,0.700000,-0.266795,0.000000,1.000000
-1.625000,25.000000,0.900000,-0.229118,0.000000,1.000000
-1.625000,25.000000,1.000000,-0.155648,0.000000,1.000000
-1.625000,50.000000,0.000000,-1.113012,0.000000,1.000000
-1.625000,50.000000,0.100000,-0.872785,0.000000,1.000000
-1.625000,50.000000,0.050000,-0.991907,0.000000,1.000000
-1.625000,50.000000,0.150000,-0.770140,0.000000,1.000000
-1.625000,50.000000,0.200000,-0.671644,0.000000,1.000000
-1.625000,50.000000,0.400000,-0.342746,0.000000,1.000000
-1.625000,50.000000,0.950000,-0.057554,0.000000,1.000000
-1.625000,50.000000,0.350000,-0.405908,0.000000,1.000000
-1.625000,50.000000,0.550000,-0.264117,0.000000,1.000000
-1.625000,50.000000,0.650000,-0.150616,0.000000,1.000000
-1.625000,50.000000,0.250000,-0.594642,0.000000,1.000000
-1.625000,50.000000,0.900000,-0.067287,0.000000,1.000000
-1.625000,50.000000,0.500000,-0.327315,0.000000,1.000000
-1.625000,50.000000,0.600000,-0.177243,0.000000,1.000000
-1.625000,50.000000,0.850000,-0.078882,0.000000,1.000000
-1.625000,50.000000,0.300000,-0.512364,0.000000,1.000000
-1.625000,50.000000,0.800000,-0.092629,0.000000,1.000000
-1.625000,50.000000,0.450000,-0.290066,0.000000,1.000000
-1.625000,50.000000,0.750000,-0.108873,0.000000,1.000000
-1.625000,50.000000,1.000000,-0.049441,0.000000,1.000000
-1.625000,50.000000,0.700000,-0.128033,0.000000,1.000000
-1.625000,100.000000,0.050000,-1.194394,0.000000,1.000000
-1.625000,100.000000,0.100000,-0.944482,0.000000,1.000000
-1.625000,100.000000,0.150000,-0.741815,0.000000,1.000000
-1.625000,100.000000,0.000000,-1.548681,0.000000,1.000000
-1.625000,100.000000,0.200000,-0.585859,0.000000,1.000000
-1.375000,10.000000,0.050000,-0.722275,0.000000,1.000000
-1.375000,10.000000,0.000000,-0.735959,0.000000,1.000000
-1.375000,10.000000,0.200000,-0.693108,0.000000,1.000000
-1.375000,10.000000,0.300000,-0.633054,0.000000,1.000000
-1.375000,10.000000,0.400000,-0.580562,0.000000,1.000000
-1.375000,10.000000,0.350000,-0.623977,0.000000,1.000000
-1.375000,10.000000,0.250000,-0.657106,0.000000,1.000000
-1.375000,10.000000,0.100000,-0.712687,0.000000,1.000000
-1.375000,10.000000,0.450000,-0.553850,0.000000,1.000000
-1.375000,10.000000,0.600000,-0.479728,0.000000,1.000000
-1.625000,100.000000,0.700000,-0.025038,0.000000,1.000000
-1.625000,100.000000,0.250000,-0.435940,0.000000,1.000000
-1.625000,100.000000,0.400000,-0.195182,0.000000,1.000000
-1.625000,100.000000,0.550000,-0.081986,0.000000,1.000000
-1.375000,10.000000,0.500000,-0.528016,0.000000,1.000000
-1.625000,100.000000,0.450000,-0.148337,0.000000,1.000000
-1.625000,100.000000,0.500000,-0.111361,0.000000,1.000000
-1.375000,10.000000,0.700000,-0.491569,0.000000,1.000000
-1.625000,100.000000,0.350000,-0.255115,0.000000,1.000000
