NoNoise,Noise_0.001,Noise_0.01,Noise_0.1
1.039470465387485998e+00,1.038512423652690808e+00,9.153223228980366111e-01,1.627247622213891243e-01
6.448817255672121274e-01,6.437364851746056882e-01,6.163671294986779792e+00,4.753805337108079065e-01
1.014593704698082410e+00,1.012793061342837309e+00,8.732205498348537542e-01,1.808016733428781941e-01
5.774177147948696964e-01,5.771791604491520733e-01,5.529863909055203752e-01,4.044090023592444183e+00
8.619733173949573057e-01,8.605639012761330253e-01,7.482369763695311260e-01,3.281815332014511588e-01
7.523194495511972280e-01,7.505683660765285481e-01,6.594635236706150039e-01,3.179715209781044827e+00
1.028912920785389318e+00,1.026332096990110188e+00,9.030206069012851611e-01,2.170911803994270139e-01
7.923578654969116730e-01,7.917088630119867299e-01,7.419646816458826954e-01,1.363236445031773547e-01
8.621863480056835005e-01,8.617382899363914550e-01,8.039187016201297942e-01,1.887207527276851260e-01
9.648227638545657792e-01,9.316641968760585035e-01,9.168398782101947475e-01,1.994728753549853961e-01
1.077851381226260230e+00,1.077196936883445533e+00,9.538065160775419660e-01,1.469195961877908796e-01
1.140549803041136956e+00,1.139062026365015301e+00,9.461163542413704164e-01,8.616103563893984241e-02
6.824997622603740099e-01,6.823211702036244830e-01,6.628221661605074866e-01,2.625002583674508894e-01
1.242229470702402194e+00,1.236852057771635760e+00,9.690081408666024743e-01,1.515418251493614976e+00
8.704849055962775584e-01,8.687971835484624705e-01,7.665022615048330268e-01,2.210156001373477785e-01
9.780137243562772031e-01,9.772633741047638267e-01,8.649921629088813679e-01,1.310471804712334265e-01
9.215064734507703026e-01,4.151678955088910605e+00,7.567332389609029430e-01,2.638900377166363942e+00
7.027565442919344596e-01,1.878568824209791543e+00,5.244165095778168251e-01,3.643212078538790033e-01
7.894056280245660417e-01,7.894052832603747349e-01,7.324182211175588320e-01,1.755067813124661369e-01
8.040130166284644719e-01,8.038312093054115204e-01,7.384405451671257614e-01,2.560813048421961557e-02
8.202325741119069757e-01,8.196751543957720987e-01,7.697449662629276546e-01,2.110685343129866942e-01
1.184104172734375515e+00,1.182081141941686342e+00,9.717491189068041546e-01,1.651695022072672270e-01
9.966032353265618093e-01,9.947655730840260224e-01,8.606152977136467541e-01,1.752986632740579365e-01
1.165610365288163752e+00,1.162887547268661947e+00,9.630693177981234365e-01,1.347882445239937665e-01
8.409406615568675303e-01,4.532742224355329697e+00,4.021913305892794277e+00,2.435314780255444789e-01
8.017265695140844972e-01,8.009993485006564606e-01,1.042461133242936544e+00,2.359230219725278133e+00
1.051323370848859184e+00,1.047542014240373742e+00,8.928321206222967765e-01,1.656372318199166027e-01
8.926992393939586767e-01,8.927118909086784182e-01,8.451478697168155474e-01,1.731626602694573691e-01
8.649936667600053308e-01,8.639934268435087716e-01,7.558717274019233212e-01,1.704988805500127880e+00
7.542257829659833046e-01,7.538519702858232918e-01,6.947657732469851855e-01,3.869997491777686371e-01
9.651637780490194274e-01,9.630483653847619063e-01,8.544790603124357009e-01,2.993619179425427990e-01
9.708851278582985023e-01,9.687371916545350903e-01,8.469912505035912531e-01,2.091049817398462629e-01
1.129772559288031664e+00,1.127414025125770269e+00,9.926870066268304038e-01,1.836039736363467845e-01
7.647285809307817761e-01,7.640037107612853706e-01,7.075788985734806635e-01,4.220479140502968463e+00
1.021576393707159136e+00,1.019308190534429004e+00,8.492268115220895641e-01,3.108530605071894160e-01
1.192752303382178303e+00,1.190480216131158731e+00,9.991694636133805485e-01,1.131150980914010784e-01
7.650155954863946395e-01,7.646438806991303627e-01,7.117726295827173644e-01,2.560528884825586382e-01
9.609615427772100205e-01,9.580942113054289333e-01,8.167117499135947423e-01,2.204226103389481106e-01
7.568319648997374749e-01,7.564983980969406385e-01,7.215290032828418632e-01,2.506429368750674458e-01
8.300905940408378481e-01,8.303258674587468136e-01,7.850164592428343635e-01,2.344455981482118645e-01
7.288530387911583697e-01,7.286587917355813460e-01,7.020161900689296797e-01,2.189083956579151169e-01
9.291609891808650934e-01,9.272638590722023233e-01,8.022808076206986438e-01,1.248674098590185633e-01
7.222763754410627124e-01,7.212215666153969362e-01,2.814727280862743708e+00,1.817863036133864352e-01
8.601462716107726170e-01,8.604011023286565196e-01,7.827821871101717788e-01,1.269561831139036645e-01
7.900787106094033785e-01,7.889916723228558304e-01,7.334523637063812274e-01,1.591925067197132448e-01
1.234541104894408381e+00,1.233018154423045853e+00,9.937266524052269512e-01,1.237442336782474672e-01
9.222840937731915378e-01,9.208351187273106087e-01,7.963322884777965793e-01,4.793971729011172300e+00
6.908565150292688140e-01,6.904932550478063424e-01,6.683045258573214742e-01,2.752285762567887595e-01
9.178832475681554248e-01,9.156533674004793122e-01,7.775525909684742887e-01,1.955621863495307922e-01
6.933191522221542336e-01,5.368469511285952622e-01,5.290495956032325031e-01,3.313199501049691742e-01
1.299934992637724163e+00,1.295876430635421794e+00,1.056608431591193442e+00,1.193184834725622007e-01
1.052675101429276561e+00,1.049424223373648823e+00,9.027365603030350627e-01,1.045205214933494914e-01
1.059604738446599193e+00,1.058158194887053316e+00,8.941312083023410517e-01,1.479022719838199162e-01
9.573303612951125086e-01,9.552370443589077720e-01,8.114813432582170805e-01,2.466125781694766261e-01
6.453540178690350126e-01,6.449500705264618050e-01,6.127186603278115262e-01,2.873632407796284038e+00
9.108917425919853539e-01,9.101220978335813339e-01,8.381556049986034207e-01,1.830458271135376458e-01
1.239651117146060244e+00,1.237249911477314113e+00,1.013505489177480401e+00,2.486554232818431187e-01
9.022575758577049410e-01,5.313724733116684362e+00,1.700131497188684948e+00,1.054918896080153345e+01
8.141929447587799018e-01,8.138117142961668327e-01,7.666163657816447152e-01,2.098602669487556194e-01
1.128528336231499063e+00,1.124940865367936471e+00,9.540315528958231983e-01,1.586761376964303805e-01
1.082425204086967074e+00,1.079439089314521816e+00,9.316010844813380487e-01,1.205533508958405442e-01
7.297239025010313629e-01,5.638158263389194680e-01,2.270554458367596062e+00,5.687454556822273410e+00
1.049659895114842145e+00,1.048339971284386385e+00,8.913536156428067958e-01,1.136750223342575250e+00
8.767943361330079455e-01,8.758624501406288010e-01,8.105730781382993744e-01,1.803307434190938030e-01
1.106941428557305596e+00,1.103449950728551565e+00,9.313213035282383867e-01,1.100466149275104444e-01
4.321894744506754796e+04,8.302159088025892197e-01,5.944161112552085235e+00,1.716842752659697435e-01
5.547642820808839081e-01,5.539729879037835758e-01,3.696068403266377089e+00,5.061187378179409224e-01
8.000490240476227921e-01,6.318689223108349129e-01,2.242265163190398258e+00,1.110080236362902095e+00
9.728793147759006166e-01,9.707388131802542341e-01,8.355394005197058771e-01,1.979621488497838921e+00
9.348960726331295712e-01,9.324135242759368225e-01,8.120436341266120683e-01,4.704094037063469846e-01
9.136788936961692809e-01,9.111060210614929655e-01,5.601626664665051436e+00,6.446759443305523085e-01
1.048032504792418163e+00,1.046863325490047458e+00,8.953630012288860129e-01,3.573696112611741249e+00
6.948217732401484881e-01,6.255755922917705547e+00,7.072697947044933819e+00,5.753057723143759628e-01
7.410543164755134526e-01,7.402615547668885965e-01,6.963611437162977591e-01,4.488734476806790497e-01
8.481716586923688794e-01,8.470551181921101014e-01,7.703609633176776716e-01,2.113316290597799796e-01
9.671394946550421201e-01,7.946798496727720540e-01,2.876140681073880323e+00,2.327792007735590918e+00
6.855817702386896029e-01,4.345041566263696531e+00,2.616317613045275436e+00,9.600752220064905362e-01
1.057385970007291842e+00,1.054366807155426633e+00,8.967420893240906077e-01,8.435151121766168436e-02
9.529465984261957789e-01,9.513925208136788658e-01,8.505878936181499039e-01,1.600663963937241641e-01
1.020053430861054711e+00,1.018431055426809229e+00,8.979062036363180122e-01,1.670387729381392905e-01
