alpha,N_species,w,mean_leading_eigenvalue,extinction_counter, attempt_counter
-1.625000,100.000000,0.950000,-0.325261,0.000000,1.000000
-1.625000,100.000000,0.750000,-0.383422,0.000000,1.000000
-1.625000,100.000000,0.700000,-0.386715,0.000000,1.000000
-1.625000,100.000000,0.250000,-0.503136,0.000000,1.000000
-1.375000,25.000000,0.050000,-0.648732,0.000000,1.000000
-1.625000,100.000000,0.450000,-0.448203,0.000000,1.000000
-1.625000,100.000000,0.800000,-0.370612,0.000000,1.000000
-1.625000,100.000000,0.900000,-0.346100,0.000000,1.000000
-1.625000,100.000000,0.850000,-0.346900,0.000000,1.000000
-1.625000,100.000000,0.600000,-0.419806,0.000000,1.000000
-1.625000,100.000000,1.000000,-0.321622,0.000000,1.000000
-1.625000,100.000000,0.400000,-0.468740,0.000000,1.000000
-1.375000,25.000000,0.150000,-0.638113,0.000000,1.000000
-1.375000,25.000000,0.100000,-0.642199,0.000000,1.000000
-1.375000,25.000000,0.200000,-0.637106,0.000000,1.000000
-1.375000,25.000000,0.400000,-0.621911,0.000000,1.000000
-1.375000,25.000000,0.350000,-0.624912,0.000000,1.000000
-1.375000,25.000000,0.300000,-0.626152,0.000000,1.000000
-1.375000,25.000000,0.250000,-0.633960,0.000000,1.000000
-1.375000,25.000000,0.600000,-0.609975,0.000000,1.000000
-1.375000,25.000000,0.550000,-0.612950,0.000000,1.000000
-1.375000,25.000000,0.850000,-0.590021,0.000000,1.000000
-1.375000,25.000000,0.700000,-0.604045,0.000000,1.000000
-1.375000,25.000000,0.650000,-0.602986,0.000000,1.000000
-1.375000,25.000000,0.450000,-0.622129,0.000000,1.000000
-1.375000,25.000000,0.500000,-0.618942,0.000000,1.000000
-1.375000,25.000000,0.750000,-0.601091,0.000000,1.000000
-1.375000,25.000000,0.800000,-0.593241,0.000000,1.000000
-1.375000,25.000000,1.000000,-0.586419,0.000000,1.000000
-1.375000,25.000000,0.900000,-0.586815,0.000000,1.000000
-1.375000,25.000000,0.950000,-0.590558,0.000000,1.000000
-1.375000,50.000000,0.050000,-0.637387,0.000000,1.000000
-1.375000,50.000000,0.000000,-0.640348,0.000000,1.000000
-1.375000,50.000000,0.400000,-0.593737,0.000000,1.000000
-1.375000,50.000000,0.450000,-0.598150,0.000000,1.000000
-1.375000,50.000000,0.300000,-0.608827,0.000000,1.000000
-1.375000,50.000000,0.100000,-0.632742,0.000000,1.000000
-1.375000,50.000000,0.250000,-0.614690,0.000000,1.000000
-1.375000,50.000000,0.150000,-0.622248,0.000000,1.000000
-1.375000,50.000000,0.350000,-0.596570,0.000000,1.000000
-1.375000,50.000000,0.550000,-0.586568,0.000000,1.000000
-1.375000,50.000000,0.500000,-0.587786,0.000000,1.000000
-1.375000,50.000000,0.900000,-0.546429,0.000000,1.000000
-1.375000,50.000000,0.200000,-0.620792,0.000000,1.000000
-1.375000,50.000000,0.800000,-0.552090,0.000000,1.000000
-1.375000,50.000000,0.750000,-0.563547,0.000000,1.000000
-1.375000,50.000000,0.650000,-0.575033,0.000000,1.000000
-1.375000,50.000000,0.700000,-0.569284,0.000000,1.000000
-1.375000,50.000000,1.000000,-0.529496,0.000000,1.000000
-1.375000,50.000000,0.600000,-0.575020,0.000000,1.000000
-1.375000,50.000000,0.850000,-0.552119,0.000000,1.000000
-1.375000,50.000000,0.950000,-0.540757,0.000000,1.000000
-1.125000,10.000000,0.050000,-0.714028,0.000000,1.000000
-1.125000,10.000000,0.100000,-0.713066,0.000000,1.000000
-1.125000,10.000000,0.200000,-0.710912,0.000000,1.000000
-1.125000,10.000000,0.150000,-0.711218,0.000000,1.000000
-1.375000,100.000000,0.350000,-0.558621,0.000000,1.000000
-1.375000,100.000000,0.300000,-0.569724,0.000000,1.000000
-1.125000,10.000000,0.250000,-0.712354,0.000000,1.000000
-1.125000,10.000000,0.300000,-0.709812,0.000000,1.000000
-1.375000,100.000000,0.600000,-0.502122,0.000000,1.000000
-1.375000,100.000000,0.050000,-0.624268,0.000000,1.000000
-1.125000,10.000000,0.350000,-0.708981,0.000000,1.000000
-1.375000,100.000000,0.150000,-0.603933,0.000000,1.000000
-1.125000,10.000000,0.000000,-0.714976,0.000000,1.000000
-1.125000,10.000000,0.450000,-0.708938,0.000000,1.000000
-1.125000,10.000000,0.550000,-0.705464,0.000000,1.000000
-1.125000,10.000000,0.500000,-0.706374,0.000000,1.000000
-1.125000,10.000000,0.650000,-0.703596,0.000000,1.000000
-1.125000,10.000000,0.600000,-0.701820,0.000000,1.000000
-1.125000,10.000000,0.400000,-0.705656,0.000000,1.000000
-1.125000,10.000000,0.900000,-0.696045,0.000000,1.000000
-1.125000,10.000000,0.750000,-0.701803,0.000000,1.000000
-1.375000,100.000000,0.700000,-0.479926,0.000000,1.000000
-1.375000,100.000000,0.100000,-0.605241,0.000000,1.000000
-1.125000,10.000000,0.800000,-0.700820,0.000000,1.000000
-1.375000,100.000000,1.000000,-0.414598,0.000000,1.000000
-1.375000,100.000000,0.800000,-0.456753,0.000000,1.000000
-1.375000,100.000000,0.550000,-0.513299,0.000000,1.000000
-1.125000,10.000000,0.700000,-0.699896,0.000000,1.000000
-1.125000,10.000000,0.850000,-0.699754,0.000000,1.000000
