alpha,N_species,mu,mean_leading_eigenvalue,extinction_counter, attempt_counter
-1.375000,10.000000,-0.070000,nan,0.000000,5.000000
-1.625000,50.000000,0.030000,-1.125559,0.000000,1.000000
-1.625000,50.000000,0.000000,-0.576724,0.000000,1.000000
-1.375000,10.000000,-0.060000,nan,0.000000,5.000000
-1.625000,50.000000,0.070000,-1.601030,0.000000,1.000000
-1.625000,50.000000,0.050000,-1.381484,0.000000,1.000000
-1.625000,100.000000,-0.020000,nan,0.000000,5.000000
-1.625000,50.000000,0.040000,-1.258548,0.000000,1.000000
-1.625000,50.000000,0.020000,-0.977127,0.000000,1.000000
-1.625000,50.000000,0.090000,-1.804114,0.000000,1.000000
-1.625000,50.000000,0.100000,-1.901202,0.000000,1.000000
-1.625000,50.000000,0.060000,-1.498651,0.000000,1.000000
-1.375000,25.000000,-0.090000,nan,0.000000,5.000000
-1.375000,25.000000,-0.060000,nan,0.000000,5.000000
-1.375000,25.000000,-0.080000,nan,0.000000,5.000000
-1.375000,25.000000,-0.070000,nan,0.000000,5.000000
-1.375000,25.000000,-0.030000,nan,0.000000,5.000000
-1.375000,25.000000,-0.100000,nan,0.000000,5.000000
-1.375000,25.000000,-0.050000,nan,0.000000,5.000000
-1.375000,10.000000,-0.050000,nan,0.000000,5.000000
-1.375000,25.000000,-0.040000,nan,0.000000,5.000000
-1.375000,25.000000,-0.020000,nan,0.000000,5.000000
-1.375000,10.000000,-0.040000,-0.248717,0.000000,1.000000
-1.375000,50.000000,-0.090000,nan,0.000000,5.000000
-1.375000,50.000000,-0.070000,nan,0.000000,5.000000
-1.375000,50.000000,-0.100000,nan,0.000000,5.000000
-1.375000,50.000000,-0.080000,nan,0.000000,5.000000
-1.375000,50.000000,-0.060000,nan,0.000000,5.000000
-1.375000,10.000000,-0.020000,-0.493900,0.000000,1.000000
-1.375000,50.000000,-0.050000,nan,0.000000,5.000000
-1.375000,50.000000,-0.030000,nan,0.000000,5.000000
-1.375000,50.000000,-0.040000,nan,0.000000,5.000000
-1.375000,10.000000,0.000000,-0.650377,0.000000,1.000000
-1.375000,50.000000,-0.020000,nan,0.000000,5.000000
-1.625000,100.000000,0.010000,-0.972953,0.000000,1.000000
-1.375000,10.000000,0.020000,-0.724506,0.000000,1.000000
-1.375000,10.000000,0.010000,-0.689987,0.000000,1.000000
-1.375000,10.000000,0.060000,-0.844671,0.000000,1.000000
-1.375000,10.000000,0.080000,-0.894714,0.000000,1.000000
-1.375000,10.000000,-0.010000,-0.578505,0.000000,1.000000
-1.375000,10.000000,-0.030000,-0.392317,0.000000,1.000000
-1.625000,100.000000,0.030000,-1.505547,0.000000,1.000000
-1.375000,10.000000,0.030000,-0.754542,0.000000,1.000000
-1.375000,10.000000,0.070000,-0.869856,0.000000,1.000000
-1.375000,50.000000,-0.010000,nan,0.000000,5.000000
-1.375000,10.000000,0.050000,-0.815051,0.000000,1.000000
-1.375000,10.000000,0.090000,-0.920032,0.000000,1.000000
-1.625000,100.000000,0.020000,-1.258118,0.000000,1.000000
-1.375000,10.000000,0.100000,-0.943996,0.000000,1.000000
